launch_azimuth_deg,approximate_inclination_deg,eastward_rotation_gain_m_s
60.0,35.33596767032322,378.99317359867547
65.0,31.381421474258776,396.6216960440444
70.0,27.727872934348085,411.23168789579034
75.0,24.51144410890475,422.7119582941672
80.0,21.926332551333072,430.9751354494664
85.0,20.21692904486564,435.9583315940935
90.0,19.614000000000004,437.6236215964517
95.0,20.21692904486564,435.9583315940935
100.0,21.926332551333072,430.9751354494664
105.0,24.51144410890475,422.7119582941672
110.0,27.727872934348074,411.23168789579034
115.0,31.381421474258765,396.6216960440445
120.0,35.335967670323214,378.99317359867547
