single_launch_reliability,rendezvous_reliability,tli_reliability,two_launch_only,two_launch_leo_rendezvous_tli
0.9,0.98,0.985,0.81,0.7818930000000001
0.91,0.98,0.985,0.8281000000000001,0.7993649300000001
0.92,0.98,0.985,0.8464,0.81702992
0.93,0.98,0.985,0.8649000000000001,0.83488797
0.94,0.98,0.985,0.8835999999999999,0.85293908
0.95,0.98,0.985,0.9025,0.87118325
0.96,0.98,0.985,0.9216,0.8896204799999999
0.97,0.98,0.985,0.9409,0.90825077
0.98,0.98,0.985,0.9603999999999999,0.9270741199999999
0.99,0.98,0.985,0.9801,0.94609053
0.995,0.98,0.985,0.990025,0.9556711325
