single_launch_reliability,rendezvous_reliability,tli_reliability,mission_reliability
0.95,0.94,0.94,0.7974489999999999
0.95,0.94,0.96,0.8144159999999999
0.95,0.94,0.98,0.8313829999999999
0.95,0.94,0.985,0.8356247499999999
0.95,0.94,0.995,0.8441082499999999
0.95,0.96,0.94,0.8144159999999999
0.95,0.96,0.96,0.8317439999999999
0.95,0.96,0.98,0.8490719999999999
0.95,0.96,0.985,0.8534039999999999
0.95,0.96,0.995,0.862068
0.95,0.98,0.94,0.8313829999999999
0.95,0.98,0.96,0.8490719999999999
0.95,0.98,0.98,0.8667609999999999
0.95,0.98,0.985,0.87118325
0.95,0.98,0.995,0.88002775
0.95,0.99,0.94,0.8398664999999998
0.95,0.99,0.96,0.8577359999999998
0.95,0.99,0.98,0.8756054999999999
0.95,0.99,0.985,0.8800728749999999
0.95,0.99,0.995,0.8890076249999999
0.95,0.995,0.94,0.8441082499999999
0.95,0.995,0.96,0.862068
0.95,0.995,0.98,0.8800277499999999
0.95,0.995,0.985,0.8845176874999999
0.95,0.995,0.995,0.8934975624999999
