category,rank,parameter_1,value_1,parameter_2,value_2,parameter_3,value_3,metric_1,metric_value_1,metric_2,metric_value_2,score
ascent_pitch,1,pitch_end_time_s,400.0,final_pitch_deg,8.0,,,terminal_altitude_km,362.707618027254,terminal_speed_m_s,7334.8903831933185,2.547031370337658
ascent_pitch,2,pitch_end_time_s,400.0,final_pitch_deg,6.0,,,terminal_altitude_km,325.3773001363764,terminal_speed_m_s,7424.000720507031,2.895697899246222
ascent_pitch,3,pitch_end_time_s,420.0,final_pitch_deg,6.0,,,terminal_altitude_km,386.60849133209933,terminal_speed_m_s,7269.862395951352,3.203761129203233
ascent_pitch,4,pitch_end_time_s,420.0,final_pitch_deg,4.0,,,terminal_altitude_km,351.2650067336735,terminal_speed_m_s,7353.680374835556,3.3659897645594805
ascent_pitch,5,pitch_end_time_s,420.0,final_pitch_deg,8.0,,,terminal_altitude_km,421.58141371270614,terminal_speed_m_s,7185.487983825147,3.5265414098562147
ascent_pitch,6,pitch_end_time_s,400.0,final_pitch_deg,4.0,,,terminal_altitude_km,287.6692318210514,terminal_speed_m_s,7512.555473010571,3.774487443479944
ascent_pitch,7,pitch_end_time_s,440.0,final_pitch_deg,2.0,,,terminal_altitude_km,377.1180358813101,terminal_speed_m_s,7280.080095387285,3.9966640307362264
ascent_pitch,8,pitch_end_time_s,440.0,final_pitch_deg,4.0,,,terminal_altitude_km,410.5754374517637,terminal_speed_m_s,7201.389476513108,4.005144574838123
ascent_pitch,9,pitch_end_time_s,420.0,final_pitch_deg,2.0,,,terminal_altitude_km,315.58013481210776,terminal_speed_m_s,7436.881595870402,4.013776188411327
ascent_pitch,10,pitch_end_time_s,440.0,final_pitch_deg,0.0,,,terminal_altitude_km,343.35160836776214,terminal_speed_m_s,7358.101466870589,4.4335468481027895
leo_rendezvous,1,target_altitude_km,280.0,phasing_altitude_km,240.0,,,wait_time_hours,18.329749426463717,total_delta_v_m_s,43.38470110173057,0.6629688788481022
leo_rendezvous,2,target_altitude_km,300.0,phasing_altitude_km,260.0,,,wait_time_hours,18.468276263717016,total_delta_v_m_s,43.279300929555575,0.6636464625920184
leo_rendezvous,3,target_altitude_km,280.0,phasing_altitude_km,320.0,,,wait_time_hours,18.607429353874306,total_delta_v_m_s,43.17469015745792,0.664339768498008
leo_rendezvous,4,target_altitude_km,320.0,phasing_altitude_km,280.0,,,wait_time_hours,18.607429353874306,total_delta_v_m_s,43.17469015745792,0.664339768498008
leo_rendezvous,5,target_altitude_km,300.0,phasing_altitude_km,340.0,,,wait_time_hours,18.747209637818496,total_delta_v_m_s,43.07086053299372,0.6650487258026684
leo_rendezvous,6,target_altitude_km,320.0,phasing_altitude_km,360.0,,,wait_time_hours,18.887618055023268,total_delta_v_m_s,42.96780391431275,0.6657732648309184
leo_rendezvous,7,target_altitude_km,280.0,phasing_altitude_km,260.0,,,wait_time_hours,36.79823428296832,total_delta_v_m_s,31.665921151978182,0.7766371400568859
leo_rendezvous,8,target_altitude_km,280.0,phasing_altitude_km,300.0,,,wait_time_hours,37.07591452424941,total_delta_v_m_s,31.61341924673434,0.779583124020461
leo_rendezvous,9,target_altitude_km,300.0,phasing_altitude_km,280.0,,,wait_time_hours,37.07591452424941,total_delta_v_m_s,31.61341924673434,0.779583124020461
leo_rendezvous,10,target_altitude_km,300.0,phasing_altitude_km,320.0,,,wait_time_hours,37.3548482117465,total_delta_v_m_s,31.56130996727279,0.7825487023195592
eci_ascent_pitch,1,pitch_end_time_s,305.0,final_pitch_deg,10.0,shape,1.4,terminal_altitude_km,306.85500131582376,terminal_inertial_speed_m_s,7723.3165435416595,0.0048916078471175515
eci_ascent_pitch,2,pitch_end_time_s,305.0,final_pitch_deg,10.0,shape,1.35,terminal_altitude_km,298.36396360051634,terminal_inertial_speed_m_s,7775.040641121186,0.008479195607314268
eci_ascent_pitch,3,pitch_end_time_s,300.0,final_pitch_deg,10.0,shape,1.4,terminal_altitude_km,294.01613783550357,terminal_inertial_speed_m_s,7764.62759564461,0.0096161492462657
eci_ascent_pitch,4,pitch_end_time_s,315.0,final_pitch_deg,9.0,shape,1.35,terminal_altitude_km,302.6304019403709,terminal_inertial_speed_m_s,7744.296154397405,0.01049301669405474
eci_ascent_pitch,5,pitch_end_time_s,320.0,final_pitch_deg,9.0,shape,1.3,terminal_altitude_km,306.05912252615394,terminal_inertial_speed_m_s,7759.959272036793,0.011782942713951668
eci_ascent_pitch,6,pitch_end_time_s,310.0,final_pitch_deg,10.0,shape,1.35,terminal_altitude_km,311.10598075109067,terminal_inertial_speed_m_s,7734.486911373468,0.012951285513690366
eci_ascent_pitch,7,pitch_end_time_s,310.0,final_pitch_deg,10.0,shape,1.3,terminal_altitude_km,301.9347351236343,terminal_inertial_speed_m_s,7789.055939709362,0.014729202449854479
eci_ascent_pitch,8,pitch_end_time_s,310.0,final_pitch_deg,9.0,shape,1.4,terminal_altitude_km,298.4023155133594,terminal_inertial_speed_m_s,7732.293014159669,0.015460110064830179
eci_ascent_pitch,9,pitch_end_time_s,300.0,final_pitch_deg,11.0,shape,1.35,terminal_altitude_km,307.4382550365487,terminal_inertial_speed_m_s,7763.8676647289085,0.022777676152884195
eci_ascent_pitch,10,pitch_end_time_s,300.0,final_pitch_deg,10.0,shape,1.5,terminal_altitude_km,309.2389344719872,terminal_inertial_speed_m_s,7668.608492627386,0.02450284057524686
