single_launch_reliability,two_launch_all_success,three_launch_two_of_three,three_minus_two
0.85,0.7224999999999999,0.9392499999999999,0.21675
0.86,0.7395999999999999,0.946688,0.20708800000000005
0.87,0.7569,0.953694,0.19679400000000002
0.88,0.7744,0.960256,0.18585600000000002
0.89,0.7921,0.966362,0.17426200000000003
0.9,0.81,0.9720000000000001,0.16200000000000003
0.91,0.8281000000000001,0.977158,0.1490579999999999
0.92,0.8464,0.9818239999999999,0.13542399999999988
0.93,0.8649000000000001,0.985986,0.12108599999999992
0.94,0.8835999999999999,0.9896320000000001,0.10603200000000013
0.95,0.9025,0.99275,0.09025000000000005
0.96,0.9216,0.995328,0.07372800000000002
0.97,0.9409,0.9973540000000001,0.056454000000000115
0.98,0.9603999999999999,0.9988159999999999,0.038416000000000006
0.99,0.9801,0.9997020000000001,0.01960200000000012
0.995,0.990025,0.99992525,0.009900249999999944
