time_s,x_km,y_km,z_km,vx_m_s,vy_m_s,vz_m_s,altitude_km,speed_m_s,inertial_speed_m_s,flight_path_angle_deg,pitch_deg,mass_t,dynamic_pressure_kpa,stage
0.0,-2146.3167377119794,5604.446809923501,2138.6459183002603,-409.4262296845946,-154.56971184789518,0.7190172239999053,0.052185291426256296,0.0,437.6324375092095,0.28807206137383456,90.0,2180.2170672410066,0.0,booster_core_cluster
5.0,-2148.3754307028867,5603.704142554784,2138.660870349032,-413.3358999071277,-144.36536147992624,4.559685879846278,0.097819598717615,11.488658037995554,437.84553724183115,1.8236206951672957,90.0,2136.302403446039,0.08018963264693134,booster_core_cluster
10.0,-2150.454942266604,5603.0157761883875,2138.6962791724854,-417.67097483261256,-133.06304096210445,8.820058113732665,0.20585301409475507,24.218915393787462,438.44339373839034,3.5196850280019656,90.0,2092.387739651072,0.35309690795748144,booster_core_cluster
15.0,-2152.5577492845705,5602.387193293905,2138.754285817155,-422.58941305836197,-120.6811775830687,13.514283529701899,0.3826617689402774,38.23280739327622,439.69124907276495,5.375559110243148,89.73460229031518,2048.4730758561045,0.8662144307107017,booster_core_cluster
20.0,-2154.687644430292,5601.823577279532,2138.8371006465577,-428.3646509671783,-107.28447187658543,18.655951645180277,0.6348278230438009,53.57347117991562,441.98900058243265,7.383427158801804,89.29961124513973,2004.5584120611372,1.6623013119958034,booster_core_cluster
25.0,-2156.849404919605,5601.32992725487,2138.9469996813264,-435.15472644515023,-92.89577923161724,24.257917688049403,0.9691286845430732,70.28865144559255,445.62058785155233,9.529875816561667,88.764431216695,1960.6437482661697,2.7748730189384663,booster_core_cluster
30.0,-2159.048499932841,5600.911160982306,2139.0863217885667,-443.08918243987193,-77.52844507776993,30.332612523034502,1.3925295246327296,88.4315737647165,450.84226817578167,11.795914941552425,88.15166299469101,1916.7290844712024,4.220369745824949,booster_core_cluster
35.0,-2161.2910100339986,5600.5721425323645,2139.2574678046853,-452.28664114821646,-61.19177438634652,36.89245484620748,1.9121810457631945,108.06118152980119,457.8959404037827,14.157422991657432,87.47387302316157,1872.8144206762352,5.9971553215180196,booster_core_cluster
40.0,-2163.5835936389994,5600.317698812881,2139.4629019176186,-462.86131767566474,-43.89181101128163,43.95041394073489,2.535424156862311,129.2428335167446,467.01041675734024,16.586096589491326,86.73931443225003,1828.8997568812679,8.06421761250356,booster_core_cluster
45.0,-2165.9334783952363,5600.152639787713,2139.7051573901313,-474.92718416006414,-25.630207127303574,51.52090534179484,3.269807775357738,152.05073182261003,478.40060771160626,19.050916024249155,85.95392036124086,1784.9850930863004,10.361767352952176,booster_core_cluster
50.0,-2168.3484671967503,5600.081779183512,2139.986844316985,-488.60037586155613,-6.40444585636705,59.62002940830092,4.123112739661709,176.56834156470137,492.26607858497397,21.51965426874143,85.122209399441,1741.070429291333,12.81340087051401,booster_core_cluster
55.0,-2170.8369575832357,5600.109960169306,2140.310660736618,-504.0020397033157,13.793792793237198,68.26647349025053,5.103385835233144,202.89079061441996,508.7913483418526,23.960713588255956,84.24776415708045,1697.1557654963658,15.31288876350027,booster_core_cluster
60.0,-2173.4079811057654,5600.2420995761,2140.6794123765785,-521.2639739255201,34.985191869757834,77.48438002830818,6.218999906754121,231.13125493706113,528.1514208171368,26.34534943772813,83.33351094088974,1653.2411017013983,17.54907557423114,booster_core_cluster
65.0,-2176.0712681990553,5600.483257641925,2141.0960440468116,-540.5302850867301,57.201415646128666,87.30312566886435,7.478749140883796,261.4265516838802,550.5150559243739,28.64852640575316,82.38189542648448,1609.326437906431,19.48172673888009,booster_core_cluster
70.0,-2178.837299992198,5600.838664022775,2141.563655202805,-561.9559199784886,80.47877619435944,97.75508594749584,8.891896383144893,293.92629050368595,576.0445696690609,30.848983442146952,81.39499919762181,1565.4117741114637,20.999485384089986,booster_core_cluster
75.0,-2181.717377158239,5601.313756028113,2142.085521745128,-585.7115782262949,104.86306000922815,108.87785266431716,10.468239342266694,328.79932637489736,604.9038775075169,32.930151984691605,80.374620445289,1521.4971103164964,21.87760503848966,booster_core_cluster
80.0,-2184.7237899823836,5601.914349548991,2142.665174199596,-612.0194458117782,130.45803745632838,120.73467294657083,12.218347113442608,366.28370718960963,637.3099425242228,34.88389560034292,79.32233181808036,1477.582446521529,20.860296517814483,booster_core_cluster
85.0,-2187.8699956633177,5602.6467860484345,2143.306469193375,-641.1077106560354,157.3504866963321,133.38418454202562,14.153776380709372,406.6460161483997,673.4757701745004,36.70311337972981,78.23952309553528,1433.6677827265617,19.20669768552041,booster_core_cluster
